date,Vmax,level,V,perc,Diff.1000,Qin,Qout,Qin_calc,neg_Qin,Qin_calc_interp,Qout_calc,Qin_calc_before_interp
2020-10-11,165.26,414.33,110.799,67.045262011376%,977.000000000004,11.3248703703704,0.017,11.3248703703704,NA,11.3248703703704,0.0169999999999995,11.3248703703704
2020-10-12,165.26,414.79,112.957,68.3510831417161%,2157.99999999999,24.9936476264997,0.0167957746478873,24.9936476264996,NA,24.9936476264996,0.0167957746478891,24.9936476264996
2020-10-13,165.26,415.02,114.046,69.0100447779257%,1089.00000000001,12.6200649122807,0.0158982456140351,12.6200649122809,NA,12.6200649122809,0.0158982456140357,12.6200649122809
2020-10-14,165.26,415.19,114.854,69.4989713179233%,807.999999999993,9.3692582122758,0.0174063604240283,9.3692582122758,NA,9.3692582122758,0.0174063604240278,9.3692582122758
2020-10-15,165.26,415.37,115.714,70.0193634273266%,859.999999999999,9.97062923561859,0.0169255319148936,9.97062923561859,NA,9.97062923561859,0.0169255319148931,9.97062923561859
2020-10-16,165.26,415.49,116.288,70.3666949049982%,573.999999999998,11.3342407407409,4.69072222222223,11.3342407407407,NA,11.3342407407407,4.69072222222223,11.3342407407407
2020-10-17,165.26,415.436,116.03,70.2105772721772%,-257.999999999996,8.52393055555547,11.5100416666667,8.52393055555564,NA,8.52393055555564,11.5100416666667,8.52393055555564
2020-10-18,165.26,415.33,115.522,69.9031828633668%,-507.999999999996,7.40982841232842,13.289458041958,7.40982841232842,NA,7.40982841232842,13.289458041958,7.40982841232842
2020-10-19,165.26,415.176,114.788,69.4590342490621%,-734.000000000009,7.20463664717359,15.7000070175439,7.20463664717343,NA,7.20463664717343,15.7000070175439,7.20463664717343
2020-10-20,165.26,415.18,114.807,69.4705312840373%,19.0000000000055,7.58432994261858,7.36442253521127,7.58432994261874,NA,7.58432994261874,7.36442253521127,7.58432994261874
2020-10-21,165.26,415.15,114.664,69.3840009681714%,-143.000000000001,7.20068125899752,8.85577385159012,7.20068125899752,NA,7.20068125899752,8.85577385159012,7.20068125899752
2020-10-22,165.26,415.07,114.283,69.1534551615636%,-381,7.00171851851848,11.4114407407407,7.00171851851847,NA,7.00171851851847,11.4114407407407,7.00171851851847
2020-10-23,165.26,414.89,113.429,68.636693694784%,-853.999999999999,5.64882465682465,15.5330839160839,5.64882465682465,NA,5.64882465682465,15.5330839160839,5.64882465682465
2020-10-24,165.26,414.84,113.193,68.49388841825%,-236.000000000004,6.7858240740742,9.51730555555557,6.78582407407404,NA,6.78582407407404,9.51730555555557,6.78582407407404
